,Population_pct_change,Income_pct_change,Home Value_pct_change,Commute Time_pct_change,Poverty_pct_change
127,True,True,True,False,True
128,False,True,True,0.0,True
129,True,True,True,False,True
130,,,,,
131,True,True,True,False,True
132,True,True,True,True,True
133,True,True,True,0.0,True
134,True,True,True,True,True
135,True,True,True,True,True
136,True,True,True,True,True
137,True,False,False,0.0,True
138,True,True,True,True,True
139,True,False,True,False,True
140,False,True,True,False,False
141,True,True,True,0.0,True
142,True,True,True,True,True
143,,,,,
144,True,True,True,True,True
145,True,False,True,False,False
146,True,False,False,False,False
147,False,False,True,True,False
148,True,True,True,False,False
149,True,True,True,True,True
150,False,True,True,False,False
151,False,True,True,True,False
152,True,False,True,True,False
153,True,True,False,True,True
154,False,True,True,0.0,False
155,True,True,False,False,True
156,,,,,
157,True,True,False,True,True
158,True,True,True,True,True
159,True,False,True,False,True
160,True,True,True,True,True
161,True,False,True,False,True
162,True,False,True,False,True
163,True,True,True,False,True
164,True,True,True,True,True
165,True,False,True,False,True
166,True,True,True,False,True
167,True,True,True,0.0,True
168,True,True,True,True,True
169,,,,,
170,True,False,True,True,True
171,True,True,True,True,True
172,True,True,True,False,False
173,True,True,True,True,False
174,True,True,True,0.0,True
175,True,True,True,False,True
176,False,True,True,True,False
177,True,True,True,0.0,True
178,True,False,True,False,True
179,False,True,True,False,True
180,True,True,True,0.0,True
181,True,True,True,False,True
182,,,,,
183,True,True,True,True,False
184,True,True,True,True,False
185,False,False,True,False,True
186,True,False,True,False,True
187,False,True,True,True,True
188,True,True,True,True,True
189,True,True,True,True,True
190,True,True,True,True,True
191,True,True,True,False,True
192,True,True,True,False,True
193,True,True,True,0.0,True
194,False,True,True,True,True
195,,,,,
196,True,True,True,True,True
197,True,False,False,True,True
198,True,True,False,False,True
199,True,True,True,True,True
200,True,False,True,False,True
201,True,True,True,True,True
202,False,True,True,True,False
203,True,False,True,True,True
204,False,False,True,False,True
205,True,True,True,False,True
206,True,True,True,0.0,True
207,True,True,True,False,True
208,,,,,
209,True,True,False,False,False
210,True,False,True,True,False
211,True,True,True,0.0,False
212,True,True,True,True,False
213,True,True,True,True,False
214,True,True,False,True,True
215,True,True,True,False,True
216,True,True,False,True,True
217,False,True,False,True,False
218,False,False,True,False,True
219,True,True,True,0.0,True
220,True,True,True,False,True
221,,,,,
222,True,False,False,False,True
223,True,True,True,True,True
224,True,True,True,True,True
225,True,True,True,False,True
226,True,True,True,True,True
227,True,True,True,True,True
228,True,True,True,True,True
229,True,False,True,False,True
230,False,False,True,True,False
231,True,True,True,True,True
232,True,True,True,0.0,True
233,True,True,True,False,True
234,,,,,
235,True,True,True,True,True
236,False,False,True,False,False
237,False,True,True,True,False
238,True,True,False,True,True
239,False,False,True,False,True
240,False,True,True,True,False
241,True,True,False,True,True
242,True,False,False,True,False
243,True,True,False,True,False
244,True,True,True,True,False
245,True,True,0.0,True,False
246,False,True,False,False,True
